nazev_tovaru;druh;kategorie;jednotka;množství;cena/ks;akce_ANO/NE;obchod
chléb;pečivo;čerstvé potraviny;ks;;;;
loupak;pečivo;čerstvé potraviny;ks;;;;
mléko čerstvé;mléčne výrobky;čerstvé potraviny;l;;;;
mlieko ;mléčne výrobky;trvanlivé;l;;;;
jogurty;mléčne výrobky;čerstvé potraviny;ks;;;;
cottage;mléčne výrobky;čerstvé potraviny;ks;;;;
rohlík;pečivo;čerstvé potraviny;ks;;;;
mrkev;zelenina ;trvanlivé - zelenina;ks;;;;
celer;zelenina ;trvanlivé - zelenina;ks;;;;
rajče;zelenina ;čerstvé potraviny;ks;;;;
okurek;zelenina ;čerstvé potraviny;ks;;;;
banány;ovoce;čerstvé potraviny;ks;;;;
jablka;ovoce;čerstvé potraviny;ks;;;;
jemne perlivá voda ochutená;voda;trvanlivé;ks;;;;
neperlivá voda ochutená;voda;trvanlivé;ks;;;;
sirup;sirupy;trvanlivé;l;;;;
džus;džús;trvanlivé;l;;;;
vepřové maso;maso;mrazák;ks;;;;
kuře celé;maso;mrazák;ks;;;;
kurecí křídla;maso;mrazák;ks;;;;
mleté maso ;maso;mrazák;ks;;;;
maso na polívku;maso;mrazák;ks;;;;
kuřecí pečínky;maso;mrazák;ks;;;;
kuřecí stehna;maso;mrazák;ks;;;;
sýr plátky;mléčne výrobky;trvanlivé;ks;;;;
sýr celý blok;mléčne výrobky;trvanlivé;ks;;;;
cuketa;zelenina ;čerstvé potraviny;ks;;;;
kolinka;těstovina;trvanlivé;ks;;;;
vrtule;těstovina;trvanlivé;ks;;;;
mušličky;těstovina;trvanlivé;ks;;;;
nudle do polívky;těstovina;trvanlivé;ks;;;;
konverzva tuňak ve vlastní šťávě;konzervy;trvanlivé;ks;;;;
boloňská omáčka ve skle;omáčky ve skle;trvanlivé;ks;;;;
paštika ;konzervy;trvanlivé;ks;;;;
toaletní papír;drogérie;drogérie;ks;;;;
prací prášok kapsle ;drogérie;drogérie;ks;;;;
zubní pasta;drogérie;drogérie;ks;;;;
sprchový gél Old Spice;drogérie;drogérie;ks;;;;
šampon na vlasy páni;drogérie;drogérie;ks;;;;
šampon na vlasy dámy Pantene;drogérie;drogérie;ks;;;;
zubní kefka;drogérie;drogérie;ks;;;;
šunka vepřová;uzeniny;čerstvé potraviny;ks;;;;
kuřecí šunka;uzeniny;čerstvé potraviny;ks;;;;
párky;masový výrobky;čerstvé potraviny;ks;;;;
olej slunečnice nebo řepkový;olej;trvanlivé;ks;;;;
máslo Veto či Perla;máslo;trvanlivé;ks;;;;
suchý salám;uzeniny;trvanlivé;ks;;;;
curk krištál;ochucovadlo;trvanlivé;ks;;;;
sůl;ochucovadlo;trvanlivé;ks;;;;
širkoké nudle;těstovina;trvanlivé;ks;;;;
káva;káva;trvanlivé;ks;;;;
čaj;čaj;trvanlivé;ks;;;;
vajíčka velikost M ;vajíčka;čerstvé potraviny;ks;;;;
hrašek mrazeny;mrazené výrobky;trvanlivé;ks;;;;
zelenina směs (mrkev,hrašek, kukuřice);mrazené výrobky;trvanlivé;ks;;;;
stripsy kuřecí Nowako;mrazené výrobky;trvanlivé;ks;;;;
brambory ;zelenina ;trvanlivé;ks;;;;
cibule;zelenina ;trvanlivé;ks;;;;
česnek;zelenina ;trvanlivé;ks;;;;
hranolky do troupy;mrazené výrobky;trvanlivé;ks;;;;
mletý mák;pochutina;trvanlivé;ks;;;;
strouhanka;ochucovadlo;trvanlivé;ks;;;;
curk moučka;ochucovadlo;trvanlivé;ks;;;;
povidla;ochucovadlo;trvanlivé;ks;;;;
jogurt bíly;mléčne výrobky;čerstvé potraviny;ks;;;;
sýr uzený plátky;mléčne výrobky;trvanlivé;ks;;;;
kysalé zelí;zelenina ;trvanlivé;ks;;;;
prášek do pečiva;ochucovadlo;trvanlivé;ks;;;;
skořicový cukr;ochucovadlo;trvanlivé;ks;;;;
vanilinový curk;ochucovadlo;trvanlivé;ks;;;;
sušené droždí;pochutina;trvanlivé;ks;;;;
kečup;ochucovadlo;trvanlivé;ks;;;;
rajčata krájená v konzerve;konzervy;trvanlivé;ks;;;;
červená čočka;sušené potraviny;trvanlivé;ks;;;;
bulgur;těstovina;trvanlivé;ks;;;;
rýže Vitana;těstovina;trvanlivé;ks;;;;
loupaný hrách žlutý;sušené potraviny;trvanlivé;ks;;;;
máslové fazule v rajčatové omáčke;konzervy;trvanlivé;ks;;;;
